Field	Time	LHEE:X	LHEE:Y	LHEE:Z	RHEE:X	RHEE:Y	RHEE:Z	LFEO:X	LFEO:Y	LFEO:Z	LFEP:X	LFEP:Y	LFEP:Z	LFEL:X	LFEL:Y	LFEL:Z	LFEA:X	LFEA:Y	LFEA:Z	LTIO:X	LTIO:Y	LTIO:Z	LTIP:X	LTIP:Y	LTIP:Z	LTIL:X	LTIL:Y	LTIL:Z	LTIA:X	LTIA:Y	LTIA:Z	LTOO:X	LTOO:Y	LTOO:Z	LTOP:X	LTOP:Y	LTOP:Z	LTOL:X	LTOL:Y	LTOL:Z	LTOA:X	LTOA:Y	LTOA:Z	PELO:X	PELO:Y	PELO:Z	PELP:X	PELP:Y	PELP:Z	PELL:X	PELL:Y	PELL:Z	PELA:X	PELA:Y	PELA:Z	RFEO:X	RFEO:Y	RFEO:Z	RFEP:X	RFEP:Y	RFEP:Z	RFEL:X	RFEL:Y	RFEL:Z	RFEA:X	RFEA:Y	RFEA:Z	RTIO:X	RTIO:Y	RTIO:Z	RTIP:X	RTIP:Y	RTIP:Z	RTIL:X	RTIL:Y	RTIL:Z	RTIA:X	RTIA:Y	RTIA:Z	RTOO:X	RTOO:Y	RTOO:Z	RTOP:X	RTOP:Y	RTOP:Z	RTOL:X	RTOL:Y	RTOL:Z	RTOA:X	RTOA:Y	RTOA:Z	TRXO:X	TRXO:Y	TRXO:Z	TRXP:X	TRXP:Y	TRXP:Z	TRXL:X	TRXL:Y	TRXL:Z	TRXA:X	TRXA:Y	TRXA:Z
11	0.1000	0	0	0	270.304871	-3708.270020	82.679008	114.224915	-3752.314209	500.708649	110.365067	-3708.460938	868.390686	-255.338440	-3729.777832	494.141144	137.379288	-3385.303223	457.178467	139.437668	-3803.904541	73.433441	115.511467	-3754.946777	478.904724	-241.970352	-3951.832275	68.788391	-6.616135	-3425.623291	19.140259	102.100143	-3659.162842	61.160736	111.251549	-3706.000000	61.972702	55.311256	-3668.342285	58.999504	99.823174	-3658.781250	108.834656	176.570313	-3706.225098	865.945190	180.278702	-3666.089844	992.245850	44.122971	-3709.408203	870.845581	172.054428	-3579.910156	825.937927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164.954895	-3584.120117	1357.665649	169.897232	-3584.022217	1161.642944	360.861725	-3590.864746	1362.601685	171.694931	-3388.151123	1357.933472
12	0.1100	0	0	0	271.116394	-3674.418457	75.849342	114.242386	-3747.716309	500.689819	109.655426	-3698.465576	867.278076	-254.962051	-3726.147949	493.172455	136.617844	-3381.734375	451.800476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.844864	-3696.059082	864.581055	179.907562	-3655.481689	990.729492	43.425568	-3699.585693	869.980103	170.836777	-3569.894531	824.159790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163.661011	-3574.624756	1356.723267	169.012970	-3574.710449	1160.634644	359.630951	-3581.447510	1362.074951	170.483582	-3378.581787	1356.823853
13	0.1200	0	0	0	271.955597	-3640.631104	69.733734	114.265488	-3742.868896	500.599976	108.924896	-3688.608643	866.003540	-254.497604	-3722.029785	492.115814	136.122452	-3378.020996	446.741699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175.094818	-3686.054688	862.979797	179.661469	-3644.928711	988.933228	42.711655	-3689.875732	869.027222	169.588715	-3560.076416	822.045349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162.447739	-3565.045410	1355.578369	168.190918	-3565.270996	1159.419067	358.486938	-3571.907959	1361.325928	169.313950	-3368.922119	1355.553833
14	0.1300	0	0	0	272.752350	-3606.967529	64.408607	114.289688	-3737.754639	500.430695	108.185974	-3678.862793	864.575439	-253.960739	-3717.523438	490.986267	135.766190	-3374.121094	441.981537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.331543	-3676.183838	861.153015	179.543213	-3634.407471	986.867004	41.994461	-3680.253662	867.991699	168.317444	-3550.427734	819.611938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161.314041	-3555.362305	1354.240234	167.435699	-3555.685547	1158.005859	357.428253	-3562.228271	1360.369507	168.186768	-3359.152588	1354.131348
15	0.1400	0	0	0	273.442535	-3573.502686	59.933460	114.312927	-3732.370850	500.174286	107.455849	-3669.191895	863.002258	-253.365356	-3712.679688	489.796722	135.488770	-3370.012695	437.477325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173.571289	-3666.408203	859.116882	179.551910	-3623.890137	984.547546	41.291595	-3670.687500	866.874634	167.034683	-3540.907959	816.886902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160.259308	-3545.554443	1352.718750	166.751404	-3545.937744	1156.405396	356.453735	-3552.389160	1359.220215	167.102966	-3349.252686	1352.561890
16	0.1500	0	0	0	273.972015	-3540.335449	56.344906	114.336227	-3726.724609	499.824829	106.755630	-3659.552246	861.294922	-252.725876	-3707.522705	488.558655	135.268814	-3365.685303	433.171509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.835220	-3656.680420	856.894287	179.682556	-3613.347900	982.001404	40.625381	-3661.137207	865.674011	165.759903	-3531.465332	813.911621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159.283722	-3535.602783	1351.025757	166.141403	-3536.015137	1154.629761	355.562958	-3542.374023	1357.893555	166.065231	-3339.203857	1350.850220
17	0.1600	0	0	0	274.299042	-3507.589600	53.650276	114.364136	-3720.825684	499.378113	106.112617	-3649.895996	859.464050	-252.056000	-3702.086426	487.290192	135.081085	-3361.133057	429.000610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.149979	-3646.947266	854.515747	179.924255	-3602.755127	979.267761	40.021866	-3651.557373	864.382751	164.522934	-3522.038330	810.743286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.388504	-3525.489502	1349.173828	165.610077	-3525.909180	1152.692383	354.756592	-3532.166748	1356.405518	165.076614	-3328.988770	1349.000000
18	0.1700	0	0	0	274.395142	-3475.415039	51.822159	114.404114	-3714.685547	498.832245	105.556557	-3640.171631	857.523071	-251.371826	-3696.424316	486.016388	134.884308	-3356.350586	424.897400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.546844	-3637.153564	852.019165	180.259674	-3592.092041	976.397583	39.510635	-3641.902344	862.988892	163.363144	-3512.560791	807.453247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157.575699	-3515.201172	1347.177246	165.160324	-3515.616211	1150.608032	354.035645	-3521.755127	1354.771484	164.140778	-3318.594971	1347.015381
19	0.1800	0	0	0	274.244080	-3443.985352	50.795101	114.466095	-3708.313477	498.187958	105.118584	-3630.324951	855.487183	-250.690643	-3690.623535	484.773682	134.603058	-3351.330078	420.795166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.059219	-3627.241211	849.450256	180.665176	-3581.342041	973.456116	39.119965	-3632.123047	861.477722	162.328918	-3502.959717	804.125366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156.847916	-3504.722168	1345.052979	164.795074	-3505.132813	1148.395142	353.401489	-3511.126709	1353.009277	163.263824	-3308.008057	1344.901489
20	0.1900	0	0	0	273.839661	-3413.494629	50.465202	114.561104	-3701.716309	497.448792	104.828270	-3620.301514	853.371704	-250.029694	-3684.797363	483.608856	134.133148	-3346.062500	416.630768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.720261	-3617.150391	846.858459	181.112503	-3570.489990	970.516235	38.875870	-3622.168213	859.832092	161.473907	-3493.158203	800.848938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156.208435	-3494.041016	1342.817993	164.516296	-3494.457275	1146.070801	352.857056	-3500.271484	1351.134888	162.450974	-3297.217041	1342.665161
21	0.2000	0	0	0	273.182495	-3384.153564	50.693222	114.700005	-3694.900146	496.621979	104.711617	-3610.050049	851.195801	-249.408020	-3679.086914	482.580872	133.339798	-3340.538330	412.347717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.560654	-3606.824463	844.295532	181.571136	-3559.522461	967.655640	38.799805	-3611.990234	858.036560	160.851364	-3483.081787	797.713379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.660950	-3483.146240	1340.493286	164.326447	-3483.588623	1143.657837	352.403870	-3489.182129	1349.168335	161.710434	-3286.212646	1340.317017
22	0.2100	0	0	0	272.276794	-3356.181885	51.311291	114.891701	-3687.864502	495.718048	104.790161	-3599.519287	848.977417	-248.841431	-3673.635742	481.758606	132.075378	-3334.747314	407.899719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.606537	-3596.209473	841.811401	182.011459	-3548.425049	964.949768	38.908173	-3601.543457	856.079041	160.509750	-3472.659180	794.802246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.209351	-3472.027588	1338.101074	164.225403	-3472.524414	1141.179321	352.045074	-3477.850830	1347.127930	161.049225	-3274.985596	1337.871338
23	0.2200	0	0	0	271.128113	-3329.802002	52.133114	115.141609	-3680.609619	494.751251	105.079796	-3588.665283	846.736816	-248.342957	-3668.581787	481.218872	130.193268	-3328.685791	403.253296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.878357	-3585.258301	839.451843	182.409012	-3537.183350	962.465454	39.213730	-3590.789063	853.954895	160.487396	-3461.829346	792.188538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.857635	-3460.674805	1335.665405	164.215225	-3461.260986	1138.661133	351.782654	-3466.272217	1345.035889	160.476532	-3263.527832	1335.345703
24	0.2300	0	0	0	269.742279	-3305.226318	52.967026	115.450066	-3673.131348	493.737732	105.592964	-3577.451904	844.493774	-247.920135	-3664.044434	481.047394	127.551971	-3322.354492	398.392700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171.390305	-3573.927979	837.254150	182.745483	-3525.776855	960.254089	39.725830	-3579.692139	851.665771	160.808212	-3450.539551	789.927917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.610062	-3449.079346	1333.212769	164.294754	-3449.792725	1136.130371	351.619995	-3454.441895	1342.913330	160.001205	-3251.832031	1332.763794
25	0.2400	0	0	0	268.125946	-3282.647949	53.630878	115.811172	-3665.423096	492.695496	106.336571	-3565.848633	842.267822	-247.573074	-3660.098145	481.329742	124.043312	-3315.762939	393.319153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.149979	-3562.186279	835.246521	183.012222	-3514.184326	958.349365	40.450943	-3568.228027	849.223145	161.479416	-3438.752930	788.057190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.470703	-3437.231934	1330.771362	164.465012	-3438.112061	1133.616455	351.560028	-3442.355957	1340.785278	159.632874	-3239.890381	1330.151978
26	0.2500	0	0	0	266.288818	-3262.226074	53.967350	116.211998	-3657.476807	491.643158	107.313530	-3553.837891	840.078125	-247.293762	-3656.760986	482.146912	119.604462	-3308.928955	388.057312	143.942657	-3798.888184	81.841019	117.616394	-3664.638916	470.888916	-252.792633	-3910.854004	93.630730	34.479195	-3425.371094	-54.456284	102.885406	-3657.036133	55.626831	113.136276	-3703.332520	61.075722	56.274254	-3667.296143	56.141079	102.212906	-3651.604492	103.041779	173.157761	-3550.010742	833.445190	183.211655	-3502.381348	956.761230	41.394470	-3556.381592	846.648499	162.488419	-3426.449707	786.591064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.443436	-3425.126709	1328.370117	164.725388	-3426.211426	1131.150513	351.604248	-3430.014160	1338.675903	159.380707	-3227.699707	1327.541626
27	0.2600	0	0	0	264.246582	-3244.073730	53.858036	116.632889	-3649.278564	490.598389	108.520851	-3541.410400	837.942505	-247.067123	-3653.983887	483.565613	114.225632	-3301.871582	382.654510	143.687469	-3796.737793	82.776398	118.002411	-3656.744873	469.949554	-249.018463	-3921.552979	101.854630	20.062599	-3429.336182	-58.268829	103.162605	-3655.097168	54.658581	113.230835	-3701.355225	60.737751	56.509651	-3665.147461	55.448574	102.648170	-3648.988525	101.993042	174.406250	-3537.389160	831.854797	183.357559	-3490.340576	955.478271	42.558197	-3544.147217	843.973633	163.803833	-3413.626465	785.520935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.531830	-3412.757813	1326.039063	165.075928	-3414.081055	1128.763062	351.755798	-3417.415039	1336.611572	159.253113	-3215.255127	1324.966675
28	0.2700	0	0	0	262.024139	-3228.246826	53.234608	117.048340	-3640.807373	489.576569	109.949287	-3528.571289	835.879578	-246.874756	-3651.648926	485.630035	107.953384	-3294.601318	377.185455	143.452438	-3794.952148	84.073601	118.384995	-3648.610107	469.050354	-246.327377	-3927.953125	109.251320	10.430756	-3432.811035	-62.249519	103.488129	-3653.593262	53.817924	113.367287	-3699.793945	60.601986	56.793617	-3663.425293	54.857376	103.096802	-3646.741211	101.051643	175.879547	-3524.325439	830.469849	183.473419	-3478.036865	954.470459	43.938232	-3531.532227	841.240234	165.378494	-3400.301758	784.815735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.738785	-3400.122070	1323.809326	165.515182	-3401.710693	1126.486450	352.016357	-3404.560059	1334.619019	159.256897	-3202.554932	1322.465454
29	0.2800	0	0	0	259.658264	-3214.734863	52.085522	117.428749	-3632.034180	488.590637	111.581276	-3515.334473	833.906555	-246.699036	-3649.554443	488.345612	100.911240	-3287.113525	371.744720	143.216553	-3793.405762	85.753647	118.733627	-3640.200684	468.204285	-244.676788	-3931.096680	116.079628	4.367523	-3435.761963	-66.402695	103.805550	-3652.431396	53.072693	113.499786	-3698.547363	60.653603	57.071613	-3662.047363	54.338936	103.501678	-3644.751465	100.179565	177.553909	-3510.832275	829.275208	183.590393	-3465.442139	953.692810	45.524368	-3518.552002	838.497314	167.151901	-3386.507813	784.423706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.066071	-3387.218506	1321.709595	166.043579	-3389.092041	1124.350098	352.386841	-3391.452393	1332.725098	159.397629	-3189.599365	1320.074463
30	0.2900	0	0	0	257.198669	-3203.457031	50.457104	117.742683	-3622.915039	487.647461	113.392464	-3501.726807	832.040955	-246.529877	-3647.442871	491.677216	93.269646	-3279.368652	366.448120	142.941650	-3791.956055	87.833382	119.017715	-3631.468018	467.418335	-243.826447	-3931.994385	122.664787	0.633438	-3438.337158	-70.645500	104.071228	-3651.506104	52.366230	113.587654	-3697.499756	60.860088	57.300472	-3660.911865	53.835869	103.813591	-3642.889893	99.311165	179.398483	-3496.935791	828.250793	183.744034	-3452.533691	953.094788	47.297623	-3505.232178	835.799683	169.057663	-3372.291992	784.279846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.514297	-3374.047607	1319.769531	166.659180	-3376.216064	1122.385010	352.866821	-3378.094482	1330.957031	159.677185	-3176.390137	1317.833130
